frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
4.63,1, white car,201.45,468.34,230.79,482.89,216.12,475.62,201.45,475.62,230.79,475.62,29.34,14.55,3
4.67,1, white car,201.24,468.27,230.61,482.81,215.92,475.54,201.24,475.54,230.61,475.54,29.37,14.54,3
4.7,1, white car,201.02,468.26,230.42,482.78,215.72,475.52,201.02,475.52,230.42,475.52,29.4,14.52,3
4.73,1, white car,200.63,468.26,230.11,482.8,215.37,475.53,200.63,475.53,230.11,475.53,29.47,14.54,3
4.77,1, white car,200.36,468.25,229.73,482.72,215.04,475.48,200.36,475.48,229.73,475.48,29.37,14.46,3
4.8,1, white car,200.12,468.18,229.56,482.66,214.84,475.42,200.12,475.42,229.56,475.42,29.44,14.48,3
4.83,1, white car,199.82,468.17,229.15,482.59,214.49,475.38,199.82,475.38,229.15,475.38,29.33,14.43,3
4.87,1, white car,199.59,468.15,228.66,482.44,214.12,475.3,199.59,475.3,228.66,475.3,29.07,14.29,3
4.9,1, white car,199.53,468.15,228.3,482.28,213.92,475.22,199.53,475.22,228.3,475.22,28.77,14.13,3
4.93,1, white car,199.53,468.12,228.1,482.14,213.82,475.13,199.53,475.13,228.1,475.13,28.57,14.02,3
4.97,1, white car,199.6,467.85,228.02,481.78,213.81,474.82,199.6,474.82,228.02,474.82,28.42,13.93,3
5.0,1, white car,199.4,467.72,227.74,481.6,213.57,474.66,199.4,474.66,227.74,474.66,28.34,13.88,3
5.03,1, white car,199.3,467.71,227.52,481.52,213.41,474.61,199.3,474.61,227.52,474.61,28.22,13.81,3
5.07,1, white car,199.05,467.69,227.3,481.5,213.17,474.59,199.05,474.59,227.3,474.59,28.25,13.81,3
5.1,1, white car,198.68,467.6,227.14,481.5,212.91,474.55,198.68,474.55,227.14,474.55,28.46,13.9,3
5.13,1, white car,198.37,467.53,226.87,481.46,212.62,474.5,198.37,474.5,226.87,474.5,28.5,13.93,3
5.17,1, white car,198.12,467.53,226.5,481.4,212.31,474.46,198.12,474.46,226.5,474.46,28.38,13.87,3
5.2,1, white car,197.82,467.5,226.05,481.3,211.93,474.4,197.82,474.4,226.05,474.4,28.22,13.8,3
5.23,1, white car,197.68,467.5,225.84,481.27,211.76,474.39,197.68,474.39,225.84,474.39,28.16,13.77,3
5.27,1, white car,197.62,467.58,225.64,481.28,211.63,474.43,197.62,474.43,225.64,474.43,28.03,13.7,3
5.3,1, white car,197.47,467.66,225.28,481.24,211.37,474.45,197.47,474.45,225.28,474.45,27.81,13.58,3
5.33,1, white car,197.22,467.72,224.7,481.15,210.96,474.44,197.22,474.44,224.7,474.44,27.48,13.43,3
5.37,1, white car,196.87,467.64,224.5,481.15,210.68,474.39,196.87,474.39,224.5,474.39,27.62,13.51,3
5.4,1, white car,196.42,467.56,224.26,481.2,210.34,474.38,196.42,474.38,224.26,474.38,27.83,13.64,3
5.43,1, white car,196.22,467.54,224.11,481.25,210.17,474.39,196.22,474.39,224.11,474.39,27.89,13.71,3
5.47,1, white car,195.9,467.5,223.56,481.15,209.73,474.32,195.9,474.32,223.56,474.32,27.66,13.65,3
5.5,1, white car,195.54,467.42,223.06,481.07,209.3,474.25,195.54,474.25,223.06,474.25,27.52,13.65,3
5.53,1, white car,195.34,467.38,222.79,481.04,209.07,474.21,195.34,474.21,222.79,474.21,27.45,13.66,3
5.57,1, white car,195.34,467.31,222.84,481.02,209.09,474.16,195.34,474.16,222.84,474.16,27.5,13.72,3
5.6,1, white car,195.41,467.2,223.0,480.97,209.2,474.09,195.41,474.09,223.0,474.09,27.59,13.77,3
5.63,1, white car,195.42,467.16,223.17,481.01,209.29,474.08,195.42,474.08,223.17,474.08,27.75,13.85,3
5.67,1, white car,195.45,467.1,223.32,481.02,209.39,474.06,195.45,474.06,223.32,474.06,27.87,13.92,3
5.7,1, white car,195.39,467.0,223.49,481.04,209.44,474.02,195.39,474.02,223.49,474.02,28.1,14.04,3
5.73,1, white car,195.36,466.9,223.59,481.01,209.47,473.96,195.36,473.96,223.59,473.96,28.23,14.11,3
5.77,1, white car,195.33,466.87,223.47,480.95,209.4,473.91,195.33,473.91,223.47,473.91,28.15,14.08,3
5.8,1, white car,195.25,466.87,223.4,480.96,209.32,473.91,195.25,473.91,223.4,473.91,28.15,14.09,3
5.83,1, white car,195.08,466.91,223.19,480.99,209.13,473.95,195.08,473.95,223.19,473.95,28.11,14.08,3
5.87,1, white car,195.02,466.98,222.85,480.94,208.93,473.96,195.02,473.96,222.85,473.96,27.83,13.95,3
5.9,1, white car,194.88,467.06,222.53,480.95,208.7,474.01,194.88,474.01,222.53,474.01,27.65,13.89,3
5.93,1, white car,194.79,467.07,222.31,480.92,208.55,474.0,194.79,474.0,222.31,474.0,27.53,13.85,3
5.97,1, white car,194.71,467.07,222.02,480.82,208.36,473.95,194.71,473.95,222.02,473.95,27.31,13.75,3
6.0,1, white car,194.57,467.08,221.76,480.8,208.17,473.94,194.57,473.94,221.76,473.94,27.19,13.71,3
6.03,1, white car,194.55,467.11,221.75,480.81,208.15,473.96,194.55,473.96,221.75,473.96,27.2,13.71,3
6.07,1, white car,194.53,467.11,221.75,480.82,208.14,473.96,194.53,473.96,221.75,473.96,27.22,13.71,3
6.1,1, white car,194.54,467.09,221.73,480.77,208.13,473.93,194.54,473.93,221.73,473.93,27.19,13.68,3
6.13,1, white car,194.56,467.09,221.7,480.74,208.13,473.91,194.56,473.91,221.7,473.91,27.14,13.65,3
6.17,1, white car,194.51,467.12,221.43,480.66,207.97,473.89,194.51,473.89,221.43,473.89,26.92,13.54,3
6.2,1, white car,194.35,467.12,220.93,480.51,207.64,473.81,194.35,473.81,220.93,473.81,26.58,13.4,3
6.23,1, white car,194.29,467.13,220.7,480.46,207.5,473.79,194.29,473.79,220.7,473.79,26.41,13.33,3
6.27,1, white car,194.27,467.12,220.56,480.41,207.42,473.77,194.27,473.77,220.56,473.77,26.29,13.29,3
6.3,1, white car,194.16,467.14,220.26,480.36,207.21,473.75,194.16,473.75,220.26,473.75,26.1,13.21,3
6.33,1, white car,194.09,467.11,220.05,480.27,207.07,473.69,194.09,473.69,220.05,473.69,25.96,13.16,3
6.37,1, white car,194.11,467.06,220.02,480.21,207.07,473.64,194.11,473.64,220.02,473.64,25.91,13.15,3
6.4,1, white car,194.05,467.07,219.88,480.19,206.97,473.63,194.05,473.63,219.88,473.63,25.83,13.12,3
6.43,1, white car,194.05,467.02,219.87,480.14,206.96,473.58,194.05,473.58,219.87,473.58,25.83,13.12,3
6.47,1, white car,193.95,466.97,219.83,480.11,206.89,473.54,193.95,473.54,219.83,473.54,25.88,13.14,3
6.5,1, white car,193.92,466.93,219.96,480.14,206.94,473.53,193.92,473.53,219.96,473.53,26.04,13.21,3
6.53,1, white car,193.83,466.93,219.87,480.14,206.85,473.53,193.83,473.53,219.87,473.53,26.03,13.21,3
6.57,1, white car,193.73,466.91,219.78,480.13,206.76,473.52,193.73,473.52,219.78,473.52,26.05,13.23,3
6.6,1, white car,193.64,466.91,219.58,480.09,206.61,473.5,193.64,473.5,219.58,473.5,25.94,13.18,3
6.63,1, white car,193.61,466.87,219.52,480.05,206.56,473.46,193.61,473.46,219.52,473.46,25.92,13.17,3
6.67,1, white car,193.54,466.86,219.4,480.02,206.47,473.44,193.54,473.44,219.4,473.44,25.87,13.16,3
6.7,1, white car,193.53,466.88,219.33,480.01,206.43,473.44,193.53,473.44,219.33,473.44,25.8,13.13,3
6.73,1, white car,193.62,466.91,219.34,480.0,206.48,473.46,193.62,473.46,219.34,473.46,25.72,13.08,3
6.77,1, white car,193.61,466.86,219.32,479.94,206.46,473.4,193.61,473.4,219.32,473.4,25.72,13.08,3
6.8,1, white car,193.47,466.82,219.22,479.93,206.34,473.38,193.47,473.38,219.22,473.38,25.75,13.11,3
6.83,1, white car,193.48,466.87,219.03,479.89,206.26,473.38,193.48,473.38,219.03,473.38,25.55,13.02,3
6.87,1, white car,193.41,466.86,218.98,479.9,206.19,473.38,193.41,473.38,218.98,473.38,25.57,13.04,3
6.9,1, white car,193.37,466.85,218.95,479.92,206.16,473.38,193.37,473.38,218.95,473.38,25.59,13.07,3
6.93,1, white car,193.29,466.81,218.9,479.92,206.1,473.36,193.29,473.36,218.9,473.36,25.6,13.11,3
6.97,1, white car,193.39,466.77,218.95,479.88,206.17,473.32,193.39,473.32,218.95,473.32,25.56,13.11,3
7.0,1, white car,193.43,466.75,218.99,479.88,206.21,473.31,193.43,473.31,218.99,473.31,25.56,13.13,3
7.03,1, white car,193.35,466.69,219.04,479.91,206.2,473.3,193.35,473.3,219.04,473.3,25.69,13.21,3
7.07,1, white car,193.34,466.64,219.11,479.91,206.22,473.28,193.34,473.28,219.11,473.28,25.77,13.27,3
7.1,1, white car,193.12,466.55,219.0,479.88,206.06,473.21,193.12,473.21,219.0,473.21,25.88,13.33,3
7.13,1, white car,193.04,466.51,218.91,479.86,205.98,473.19,193.04,473.19,218.91,473.19,25.87,13.34,3
7.17,1, white car,193.03,466.49,218.93,479.87,205.98,473.18,193.03,473.18,218.93,473.18,25.9,13.38,3
