Frame: 5.17, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.2, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.23, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.27, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.3, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.33, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.37, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.4, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.43, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.47, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.5, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.53, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.57, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.6, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.63, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.67, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.7, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.73, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.77, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.8, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.83, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.87, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.9, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.93, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 5.97, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.0, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.03, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.07, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.1, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.13, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.17, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 5, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.2, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.23, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.27, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.3, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.33, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.37, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.4, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.43, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.47, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.5, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.53, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.57, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.6, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.63, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.67, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.7, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.73, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.77, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
Frame: 6.8, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 10, Following ID: None, Following Left ID: 7, Following Right ID: 4
